Year,"GNI per capita"
"1990 ","830"
"1991 ","890"
"1992 ","920"
"1993 ","950"
"1994 ","1030"
"1995 ","1060"
"1996 ","1110"
"1997 ","1160"
"1998 ","1190"
"1999 ","1240"
"2000 ","1320"
"2001 ","1390"
"2002 ","1390"
"2003 ","1450"
"2004 ","1540"
"2005 ","1630"
"2006 ","1730"
"2007 ","1830"
"2008 ","1970"
"2009 ","2060"
"2010 ","2170"
"2011 ","2280"
"2012 ","2490"
"2013 ","2670"
"2014 ","2930"
"2015 ","2970"
"2016 ","2960"
"2017 ","3530"
"2018 ","3830"
"2019 ","4130"
"2020 ","4020"
"2021 ","4280"
"2022 ","4750"
